属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Monitor-主显示器,×,×,×,√,,,,,,,,,,,,
Monitor-水平分辨率,1536,3840,1600,2560,,,,,,,,,,,,
Monitor-垂直分辨率,2048,2160,2560,1440,,,,,,,,,,,,
Monitor-刷新率,60 Hz,60 Hz,60 Hz,100 Hz,,,,,,,,,,,,
Monitor-位深,8 bpc 推测,10 bpc,8 bpc 推测,10 bpc,,,,,,,,,,,,
Monitor-颜色格式,Unkown,Unkown,Unkown,Unkown,,,,,,,,,,,,
Monitor-动态范围,SDR,SDR,SDR,SDR,,,,,,,,,,,,
Network-名称,WLAN,以太网,本地连接* 10,,,,,,,,,,,,,
Network-硬件,Intel(R) Wi-Fi 6E AX211 160MHz,Intel(R) Ethernet Controller I226-V,Microsoft Wi-Fi Direct Virtual Adapter,,,,,,,,,,,,,
Network-链路速度, Mbps,1000 Mbps, Mbps,,,,,,,,,,,,,
Network-IPv4地址,169.254.189.134,192.168.71.5,192.168.137.1,,,,,,,,,,,,,
Network-IPv6地址,fe80::998b:58e6:8d9d:344f%5,fe80::3834:69e:4de1:5850%15,fe80::437d:89ce:398a:e852%18,,,,,,,,,,,,,
Network-MAC地址,581CF8980585,08BFB8401DAD,5A1CF8980585,,,,,,,,,,,,,
Network-主网络,×,√,×,,,,,,,,,,,,,
Network-DHCP启用,"{'InterfaceAlias': '以太网', 'Dhcp': 1}","{'InterfaceAlias': '本地连接* 10', 'Dhcp': 0}","{'InterfaceAlias': '本地连接* 9', 'Dhcp': 1}","{'InterfaceAlias': 'WLAN', 'Dhcp': 1}","{'InterfaceAlias': 'Loopback Pseudo-Interface 1', 'Dhcp': 0}",,,,,,,,,,,
Network-默认网关,"{'InterfaceAlias': '以太网', 'NextHop': '192.168.71.1'}",,,,,,,,,,,,,,,
Network-DNS服务器,"{'InterfaceAlias': '以太网', 'ServerAddresses': ['116.228.111.118', '180.168.255.18']}","{'InterfaceAlias': '以太网', 'ServerAddresses': ['240e:58:c000:1600:180:168:255:118', '240e:58:c000:1000:116:228:111:18', '240e:58:c000:1600:180:168:255:118', '240e:58:c000:1000:116:228:111:18']}","{'InterfaceAlias': 'WLAN', 'ServerAddresses': ['116.228.111.118', '180.168.255.18']}","{'InterfaceAlias': '本地连接* 9', 'ServerAddresses': ['fec0:0:0:ffff::1', 'fec0:0:0:ffff::2', 'fec0:0:0:ffff::3']}","{'InterfaceAlias': '本地连接* 10', 'ServerAddresses': ['fec0:0:0:ffff::1', 'fec0:0:0:ffff::2', 'fec0:0:0:ffff::3']}","{'InterfaceAlias': 'Loopback Pseudo-Interface 1', 'ServerAddresses': ['fec0:0:0:ffff::1', 'fec0:0:0:ffff::2', 'fec0:0:0:ffff::3']}",,,,,,,,,,
Network-连接状态,"{'Name': '本地连接* 10', 'Status': 'Up'}","{'Name': '以太网', 'Status': 'Up'}","{'Name': 'WLAN', 'Status': 'Disconnected'}",,,,,,,,,,,,,
Battery-电池存在,False,,,,,,,,,,,,,,,
Battery-设计容量,,,,,,,,,,,,,,,,
Battery-剩余容量,,,,,,,,,,,,,,,,
Battery-电池状态,None,,,,,,,,,,,,,,,
