属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Volume-卷对象ID,"{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0044-000000000000}\\?\scsi#disk&ven_&prod_st8000nm017b-2tj#4&11742ca2&0&040000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{5b51dfb1-028e-4fe3-bcf8-c6fd8bc93a7a}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0044-000000000000}\\?\scsi#disk&ven_nvme&prod_predator_ssd_gm7#5&3ac9e863&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{79034214-4d0e-442e-bd7e-a2378bdf3bc4}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0000-100000000000}\\?\scsi#disk&ven_nvme&prod_zhitai_tipro7000#5&263eb610&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0000-500600000000}\\?\scsi#disk&ven_nvme&prod_zhitai_tipro7000#5&263eb610&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{adcae97a-55a1-4b8e-8221-1a065712a092}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{3d2bcfe5-c769-48e9-9ba0-b30c30276a24}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0000-90cedc010000}\\?\scsi#disk&ven_nvme&prod_zhitai_tipro7000#5&263eb610&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Partition.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PR:{00000000-0000-0000-0044-000000000000}\\?\scsi#disk&ven_wdc&prod_wd42ejrx-89bfny0#4&11742ca2&0&050000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{b63ee8b4-431f-4851-8135-db34542ed1ce}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{ea5bdd69-f26e-4d7e-9884-8eb88cf52e10}\""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VO:\\?\Volume{021d0e47-fdb9-40b9-bc77-e5ad22b800cc}\""",,,
Disk-编号,0,5,4,1,15,14,13,6,10,3,2,7,11,9,12,8
Disk-名称,ST8000NM017B-2TJ103,Predator SSD GM7 M.2 4TB,ZHITAI TiPro7000 THREE-BODY 2TB,WDC WD42EJRX-89BFNY0,Pool01,Pool02,HITACHI HUS723030ALS640 SCSI Disk Device,SEAGATE ST3000NM0023 SCSI Disk Device,SEAGATE ST4000NM0023 SCSI Disk Device,FORESEE 256GB SSD,Samsung SSD 860 EVO 500GB,SEAGATE ST3000NM0023 SCSI Disk Device,SEAGATE ST4000NM0025 SCSI Disk Device,SEAGATE ST4000NM0023 SCSI Disk Device,SEAGATE ST4000NM0025 SCSI Disk Device,SEAGATE ST3000NM0023 SCSI Disk Device
Disk-型号,ST8000NM017B-2TJ103,Predator SSD GM7 M.2 4TB,ZHITAI TiPro7000 THREE-BODY 2TB,WDC WD42EJRX-89BFNY0,Storage Space,Storage Space,HUS723030ALS640,ST3000NM0023,ST4000NM0023,FORESEE 256GB SSD,Samsung SSD 860 EVO 500GB,ST3000NM0023,ST4000NM0025,ST4000NM0023,ST4000NM0025,ST3000NM0023
Disk-固件版本,SNA1,SN12717,ZTA32F46,80.00A80,,,,,,,,,,,,
Disk-序列号,WWZ0XWLW,0000_0000_0000_0001.,0000_0000_0000_0000_A428_B76E_2302_F0FB.,WD-WX52AA2RSEAA,{201f9833-b80b-4b70-a2ff-73acd4cec428},{f3091f06-bb0d-48e5-a01a-dfb356b4c54a},YVK9M3EK,Z1Z6RSVN0000C519BMNT,S1Z1TP1D,K16566R000360,S3Z3NB0M557654P,Z1Z9L9CC0000R607RZVV,ZC117JLX0000C727A88H,S1Z1LPM9,ZC10J3TV0000C715EA9C,Z1Z5F6FJ0000W505GE40
Disk-总线类型,SATA,NVMe,NVMe,SATA,Storage Spaces,Storage Spaces,SAS,SAS,SAS,SATA,SATA,SAS,SAS,SAS,SAS,SAS
Disk-接口类型[旧],IDE,SCSI,SCSI,IDE,,,,,,,,,,,,
Disk-容量,7452.04 GiB,3815.45 GiB,1907.73 GiB,3726.02 GiB,8607 GiB,10290.5 GiB,2794.52 GiB,2794.52 GiB,3726.02 GiB,238.475 GiB,465.762 GiB,2794.52 GiB,3726.02 GiB,3726.02 GiB,3726.02 GiB,2794.52 GiB
Disk-逻辑扇区,512 Byte,512 Byte,512 Byte,512 Byte,4096 Byte,4096 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte
